crop,mean_arable_share,rank,cumulative_share,window_years,year_start,year_end,meets_threshold
wheat,0.40582110992181775,1,0.40582110992181775,20,2005,2024,True
barley,0.23592359952538602,2,0.6417447094472037,20,2005,2024,True
oilseed_rape,0.08479232857540224,3,0.7265370380226059,20,2005,2024,True
fallow land,0.07887978207622451,4,0.8054168200988304,20,2005,2024,False
sugar_beet,0.04048472082726535,5,0.8459015409260958,20,2005,2024,False
other_cereals,0.036251887473185376,6,0.8821534283992812,20,2005,2024,False
peas_field_beans,0.03613652656929502,7,0.9182899549685762,20,2005,2024,False
oats,0.031730058880894974,8,0.9500200138494712,20,2005,2024,False
potatoes,0.027341521909184596,9,0.9773615357586558,20,2005,2024,False
maize,0.0226384642413441,10,0.9999999999999999,20,2005,2024,False
wheat,0.40621677961412167,1,0.40621677961412167,10,2015,2024,True
barley,0.23509762539291104,2,0.6413144050070327,10,2015,2024,True
oilseed_rape,0.08457449617118894,3,0.7258889011782217,10,2015,2024,True
fallow land,0.07931370356270737,4,0.8052026047409291,10,2015,2024,False
sugar_beet,0.04042462575938544,5,0.8456272305003145,10,2015,2024,False
other_cereals,0.03628989070981882,6,0.8819171212101333,10,2015,2024,False
peas_field_beans,0.036087198495464524,7,0.9180043197055978,10,2015,2024,False
oats,0.03185928439411308,8,0.9498636040997109,10,2015,2024,False
potatoes,0.02740793954487698,9,0.9772715436445879,10,2015,2024,False
maize,0.02272845635541213,10,1.0,10,2015,2024,False
wheat,0.40674830022070074,1,0.40674830022070074,5,2020,2024,True
barley,0.23540827926575209,2,0.6421565794864528,5,2020,2024,True
oilseed_rape,0.08451062944253608,3,0.7266672089289888,5,2020,2024,True
fallow land,0.07878666311382809,4,0.8054538720428169,5,2020,2024,False
sugar_beet,0.0403531325644239,5,0.8458070046072408,5,2020,2024,False
other_cereals,0.03629124888337409,6,0.8820982534906149,5,2020,2024,False
peas_field_beans,0.03594257658049997,7,0.9180408300711148,5,2020,2024,False
oats,0.031900081959539944,8,0.9499409120306548,5,2020,2024,False
potatoes,0.027280199289024122,9,0.9772211113196789,5,2020,2024,False
maize,0.022778888680320943,10,0.9999999999999999,5,2020,2024,False
