dimension,variant,mean_profit,profit_volatility,cvar_95,opt_expected_return,expected_return,portfolio_std,portfolio_variance
price_scenario,observed,2425.0206472081536,119.09287716238211,2228.327243307443,380.83408188754345,,,
price_scenario,rolling_average,2470.886194014265,109.18119721717672,2287.2166275635013,402.46834901150174,,,
price_scenario,adverse_shock,2144.6756362613037,122.96482762253908,1941.0631933403333,276.7911805553283,,,
price_scenario,moderate_oversupply,2243.7721253165296,110.2904304143918,2062.1226675140783,378.54815689340603,,,
price_scenario,strong_oversupply,1881.275081533281,92.75502693692337,1728.5514911632736,370.69489015676896,,,
covariance_method,sample,364.2959620854716,,,,364.2959620854716,28.128275897475767,
covariance_method,shrinkage,380.83408188754345,,,,380.83408188754345,28.34815918081241,
covariance_method,robust,369.4815039382468,,,,369.4815039382468,28.591102703054318,
risk_aversion,0.5,721.5711250499977,,,,721.5711250499977,,1825.4250523715903
risk_aversion,1.0,380.83408188754345,,,,380.83408188754345,,803.618128940679
risk_aversion,2.0,350.5773343478537,,,,350.5773343478537,,746.2724572067671
risk_aversion,5.0,350.5773343478537,,,,350.5773343478537,,746.272457206767
bootstrap_method,dependence_preserving,1406.6941027296118,16.78954004669182,,,,,
bootstrap_method,simple_year,1406.6941027296118,16.78954004669182,,,,,
bootstrap_method,block,1404.9262902358555,25.533764014330238,,,,,
historical_window,20y,1397.5071138672636,75.49478115148948,,,,,
historical_window,10y,1342.619287542652,55.09419299896589,,,,,
historical_window,5y,1305.3412106344706,40.99418251911007,,,,,
